id,duration,length_cycling,length_local,partition,end_of_facility,length_bike_lane,length_seperate_cycling_link,length_collector,elev_m3,intersections,intersections_disc,length_arterial,length,elev_m2,avg_speed,length_inverse,traffic_lights,length_designated_roadway,length_other_road,change_of_facility_type,length_offroad,right_turn,left_turn,length_highway
1021,1421,1025.5319875000541,420.7460489139954,"[50, 134]",0,0,1025.5319875000541,824.5178433047002,-1.890021381144245,45,21,2021.4679722231153,4306.219552455627,7.934863467873376,3.0304148856126862,234.5151586707667,29,0,0,0,0,3,4,0
480,2315,4181.473721328235,761.1766685216497,"[117, 284]",0,256.92704655825565,3924.5466747699784,2127.4601619503414,0.18039335124887673,105,54,3852.8587757645178,10953.902812918106,9.546566149133405,4.731707478582336,2149.6908912479944,56,0,0,6,0,7,5,0
750,14512,8094.086935162099,132.8465879347288,"[402, 392]",2,363.9938612917427,7730.0930738703555,91.68828075145905,0.31355058257914686,156,28,8764.65733215901,17871.01806231598,9.572699387119401,1.2314648609644419,1178.7242484455242,31,0,0,2,0,12,19,0
190,636,834.6743724355817,845.9475860745092,"[234, 209]",0,219.1309664377323,567.0416050390902,0,-0.08390964469189707,25,7,938.1108651571574,2742.334634490029,1.7110586303888102,4.311846909575517,180.67530906960036,7,48.501800958759205,0,2,0,3,4,0
758,1707,5253.200183421153,976.42389035051,"[425, 19]",0,0,5253.200183421153,519.8542179581651,0.4597881652839385,80,31,2019.09069220021,9068.979600911469,6.753096884543803,5.312817575226402,165.05469442414994,19,0,0,4,0,11,9,0
348,990,180.41960964402662,186.16803848224345,"[368, 55]",2,0,180.41960964402662,180.60293630111508,1.6204032874153185,79,12,5928.869060810218,6635.3532155485,15.769290808935743,6.702376985402525,181.4279127339852,44,0,0,1,0,3,3,0
783,1309,2272.388895727761,1548.1396781955127,"[280, 29]",0,1939.9085185559982,0,0,-0.09755166876171825,54,24,3611.365368465332,7431.893942388606,3.10733534053187,5.677535479288469,329.762272336912,27,332.4803771717627,0,2,0,5,6,0
10,2,0,0,"[83, 83]",0,0,0,0,0.0,0,0,5.239886787254363,5.239886787254363,0.0,2.6199433936271816,5.239886787254363,0,0,0,0,0,0,0,0
432,1252,1471.4790600624772,255.10220451867485,"[652, 32]",0,1471.4790600624772,0,0,-0.52521131281779,44,25,3420.519536548502,5156.989997536933,4.8505666377350565,4.119001595476783,0,25,0,0,1,0,1,1,0
744,2167,5147.714676061142,1587.956934289474,"[51, 562]",0,2274.978864753796,2521.1560789097366,3252.030551752535,0.13435545321299222,99,72,564.2812584557998,10788.391174462755,4.447594294050915,4.978491543360755,0,31,351.57973239761054,0,8,0,8,6,0
